ID,Age (25+),Has_Job,Income (>$1000),Avails_Membership
1,0,0,0,0
2,1,1,1,1
3,0,0,1,0
4,0,1,1,1
5,0,1,0,0
6,1,0,1,1
7,0,1,1,1
8,0,1,0,0
9,0,0,0,0
10,1,0,0,1
11,0,0,0,1
12,0,0,1,0
13,0,1,0,0
14,0,0,1,0
15,1,0,0,0
16,0,0,0,0
17,1,0,1,0
18,1,0,1,0
19,1,1,1,1
20,0,0,0,0
21,1,1,0,1
22,0,0,1,0
23,1,0,1,1
24,1,0,0,0
25,1,0,1,1
26,1,0,1,0
27,1,0,0,0
28,1,0,1,0
29,1,0,0,0
30,1,1,0,1
31,0,0,0,0
32,0,1,1,0
33,1,0,1,1
34,1,1,1,1
35,1,0,1,0
36,0,0,0,0
37,1,0,0,0
38,0,1,1,1
39,0,1,1,0
40,0,1,1,1
41,0,1,1,1
42,0,0,0,1
43,1,0,1,1
44,1,0,0,0
45,1,1,1,1
46,1,0,1,0
47,1,1,1,1
48,0,1,0,0
49,1,1,1,1
50,1,1,0,1
51,0,1,0,0
52,1,0,1,0
53,0,1,0,1
54,1,1,0,0
55,0,0,0,0
56,1,1,1,1
57,1,1,0,1
58,0,0,0,0
59,0,0,1,0
60,0,0,1,0
61,0,1,0,1
62,0,0,0,0
63,0,0,0,1
64,0,0,0,0
65,0,1,1,1
66,1,0,1,0
67,1,1,0,1
68,0,1,1,1
69,1,0,0,1
70,1,1,1,1
71,1,1,1,1
72,1,0,0,1
73,0,1,0,0
74,1,0,0,1
75,0,1,0,0
76,1,1,1,1
77,1,0,1,1
78,1,0,0,0
79,0,1,1,1
80,1,1,1,1
81,0,0,0,0
82,1,1,0,1
83,0,1,1,1
84,1,1,0,1
85,0,1,0,0
86,0,0,1,0
87,1,0,1,0
88,0,0,0,0
89,1,0,1,0
90,1,0,0,0
91,1,0,0,1
92,1,1,1,1
93,1,0,1,0
94,1,1,0,1
95,1,1,0,1
96,1,1,0,1
97,1,0,1,0
98,1,1,0,1
99,1,0,1,0
100,0,1,0,1
101,0,1,1,1
102,1,0,0,1
103,1,1,1,1
104,1,1,0,1
105,1,1,0,0
106,1,1,0,0
107,1,0,0,1
108,1,1,1,1
109,1,1,1,1
110,0,0,1,0
111,1,1,1,1
112,0,1,1,0
113,1,1,0,0
114,1,1,1,1
115,0,0,1,0
116,1,1,1,1
117,0,0,1,0
118,1,1,0,0
119,1,1,0,1
120,0,1,0,0
121,1,0,0,0
122,0,1,1,1
123,1,1,1,1
124,0,0,0,0
125,0,0,0,0
126,1,0,1,1
127,1,0,1,0
128,0,1,0,0
129,1,1,0,0
130,1,1,0,1
131,1,1,0,1
132,0,0,1,0
133,0,1,1,0
134,0,1,1,1
135,0,1,0,0
136,0,1,1,1
137,0,0,1,1
138,0,1,0,0
139,0,1,0,0
140,0,1,0,0
141,1,0,0,0
142,0,0,0,0
143,1,1,0,1
144,1,1,1,1
145,1,1,1,1
146,0,0,1,0
147,0,1,1,0
148,0,1,1,0
149,0,1,1,0
150,1,0,0,1
151,0,1,0,0
152,0,1,0,0
153,0,0,1,0
154,0,0,1,0
155,0,1,0,0
156,1,0,0,0
157,0,1,0,0
158,1,0,0,0
159,0,0,0,0
160,1,1,1,1
161,0,1,1,1
162,0,1,1,1
163,1,0,0,0
